Weight (kg),Age,Height (cm),Size
55,3,165.1,S
55,3,165.1,S
52,3,170.18,S
49,4,165.1,S
49,4,165.1,S
49,4,165.1,S
49,4,165.1,S
49,4,165.1,S
49,4,165.1,S
53,15,170.18,S
49,15,172.72,S
54,16,170.18,S
49,16,170.18,S
56,16,160.02,S
53,16,172.72,S
54,16,170.18,S
52,16,162.56,S
56,16,154.94,S
56,16,167.64,S
54,16,160.02,S
54,16,162.56,S
54,16,165.1,S
49,17,167.64,S
54,17,160.02,S
58,17,167.64,S
52,17,167.64,S
58,17,165.1,S
54,17,157.48,S
54,17,154.94,S
58,17,175.26,S
44,17,157.48,S
56,17,177.8,S
49,17,157.48,S
54,17,175.26,S
52,17,167.64,S
51,17,162.56,S
56,17,160.02,S
51,17,165.1,S
54,17,154.94,S
58,17,170.18,S
52,17,165.1,S
54,17,170.18,S
51,17,162.56,S
65,17,167.64,S
68,17,177.8,S
58,17,170.18,S
58,17,175.26,S
65,17,172.72,S
51,17,162.56,S
49,17,160.02,S
52,17,160.02,S
54,17,170.18,S
63,17,160.02,S
58,17,172.72,S
54,17,175.26,S
54,18,162.56,S
54,18,167.64,S
53,18,170.18,S
52,18,170.18,S
49,18,154.94,S
61,18,165.1,S
50,18,165.1,S
58,18,165.1,S
63,18,177.8,S
52,18,152.4,S
56,18,170.18,S
57,18,162.56,S
54,18,167.64,S
56,18,170.18,S
54,18,165.1,S
49,18,162.56,S
56,18,167.64,S
58,18,154.94,S
56,18,175.26,S
49,18,152.4,S
58,18,165.1,S
43,18,157.48,S
56,18,170.18,S
54,18,165.1,S
49,18,167.64,S
51,18,165.1,S
54,18,165.1,S
54,18,162.56,S
58,18,165.1,S
54,18,162.56,S
52,18,162.56,S
58,18,165.1,S
56,18,157.48,S
61,18,165.1,S
43,18,167.64,S
58,18,175.26,S
56,18,160.02,S
54,18,165.1,S
52,18,165.1,S
54,18,162.56,S
58,18,167.64,S
54,18,162.56,S
58,18,170.18,S
54,18,160.02,S
54,18,165.1,S
52,18,167.64,S
56,18,170.18,S
56,18,165.1,S
52,18,160.02,S
56,18,160.02,S
54,18,172.72,S
54,18,162.56,S
49,18,157.48,S
52,18,167.64,S
51,18,162.56,S
54,18,165.1,S
49,18,157.48,S
49,18,149.86,S
56,18,165.1,S
54,18,162.56,S
56,18,167.64,S
49,18,165.1,S
47,18,160.02,S
54,18,162.56,S
58,18,172.72,S
54,18,167.64,S
50,18,167.64,S
58,18,165.1,S
56,18,165.1,S
54,18,157.48,S
54,18,162.56,S
53,19,160.02,S
46,19,160.02,S
54,19,170.18,S
49,19,160.02,S
54,19,165.1,S
56,19,165.1,S
56,19,172.72,S
56,19,165.1,S
40,19,147.32,S
58,19,162.56,S
58,19,170.18,S
55,19,162.56,S
54,19,160.02,S
54,19,162.56,S
52,19,170.18,S
53,19,170.18,S
52,19,167.64,S
51,19,162.56,S
54,19,157.48,S
53,19,160.02,S
52,19,165.1,S
47,19,167.64,S
49,19,160.02,S
52,19,165.1,S
54,19,152.4,S
49,19,157.48,S
54,19,170.18,S
47,19,157.48,S
58,19,172.72,S
56,19,162.56,S
58,19,175.26,S
52,19,165.1,S
52,19,172.72,S
57,19,160.02,S
53,19,162.56,S
56,19,175.26,S
45,19,167.64,S
54,19,165.1,S
56,19,165.1,S
56,19,165.1,S
56,19,154.94,S
56,19,170.18,S
